Title,Year,Authors,Included_(Y=yes_N=No),Comments
18F-FP-(+)-DTBZ positron emission tomography detection of monoaminergic deficient network in patients with carbon monoxide related parkinsonism,2015,"Chang, C.-C.; Hsiao, I.-T.; Huang, S.-H.; Lui, C.-C.; Yen, T.-C.; Chang, W.-N.; Huang, C.-W.; Hsieh, C.-J.; Chang, Y.-Y.; Lin, K.-J.",Y,"The study is in English, involves human subjects, mentions carbon monoxide, and explicitly links it to Parkinson's disease."
"2024 United States Elections: Air Pollution, Neurodegeneration, Neuropsychiatric, and Neurodevelopmental Disorders. Who Cares?",2024,"Calderón-Garcidueñas, Lilian; Ayala, Alberto; Mukherjee, Partha S.",N,"No specific mention of CO, O3, or NO2 focuses on PM and neurodegenerative disorders without linking to air pollutants."
25th Annual Computational Neuroscience Meeting: CNS-2016,2016,"Sharpee, Tatyana O.; Destexhe, Alain; Kawato, Mitsuo; Sekulić, Vladislav; Skinner, Frances K.; Wójcik, Daniel K.; Chintaluri, Chaitanya; Cserpán, Dorottya; Somogyvári, Zoltán; Kim, Jae Kyoung; Kilpatrick, Zachary P.; Bennett, Matthew R.; Josić, Kresimir; Elices, Irene; Arroyo, David; Levi, Rafael; Rodriguez, Francisco B.; Varona, Pablo; Hwang, Eunjin; Kim, Bowon; Han, Hio-Been; Kim, Tae; McKenna, James T.; Brown, Ritchie E.; McCarley, Robert W.; Choi, Jee Hyun; Rankin, James; Popp, Pamela Osborn; Rinzel, John; Tabas, Alejandro; Rupp, André; Balaguer-Ballester, Emili; Maturana, Matias I.; Grayden, David B.; Cloherty, Shaun L.; Kameneva, Tatiana; Ibbotson, Michael R.; Meffin, Hamish; Koren, Veronika; Lochmann, Timm; Dragoi, Valentin; Obermayer, Klaus; Psarrou, Maria; Schilstra, Maria; Davey, Neil; Torben-Nielsen, Benjamin; Steuber, Volker; Ju, Huiwen; Yu, Jiao; Hines, Michael L.; Chen, Liang; Yu, Yuguo; Kim, Jimin; Leahy, Will; Shlizerman, Eli; Birgiolas, Justas; Gerkin, Richard C... ### LONG-TEXT-TRUNCATED-BY-CATCHII ###",N,The title and abstract do not mention air pollutants or Parkinson's disease.
"A Case of Carbon Monoxide-Induced Delayed Neurological Sequelae Successfully Treated with Hyperbaric Oxygen Therapy, N-Acetylcysteine, and Glucocorticoids: Clinical and Neuroimaging Follow-Up",2019,"Spina, Vincenzo; Tomaiuolo, Francesco; Celli, Lorenzo; Bonfiglio, Luca; Cecchetti, Luca; Carboncini, Maria Chiara",N,"The study is a case report, not an observational study, and does not meet inclusion criteria."
A case of delayed encephalopathy after carbon monoxide poisoning longitudinally monitored by diffusion tensor imaging,2012,"Kuroda, H.; Fujihara, K.; Takahashi, S.; Shinozawa, Y.; Itoyama, Y.",N,"The study is a case report, not an observational study, and does not link Parkinson's to air pollution."
A Comprehensive Review on Therapeutic Applications of Ferulic Acid and its Novel Analogues: A Brief Literature,2021,"Babbar, R.; Dhiman, S.; Grover, R.; Kaur, A.; Arora, S.",N,The article is a review and does not mention air pollutants or Parkinson's disease.
A critical review of closing-in,2017,"Ambron, E.; Della Sala, S.",N,The article is a literature review and does not mention air pollutants or Parkinson's as an adverse health outcome.
A fast and high-throughput MEPS/UHPLC-PDA-based methodology for separation identification of resveratrol in wine,2013,"Gonçalves, J.; Câmara, J.S.",N,The study does not mention any air pollutants or link Parkinson's to air pollution.
A heme oxygenase-1 transducer model of degenerative and developmental brain disorders,2015,"Schipper, H.M.; Song, W.",Y,The study mentions carbon monoxide and explicitly discusses Parkinson's disease as an adverse health outcome.
A hypothesis on biological protection from space radiation through the use of new therapeutic gases as medical counter measures,2012,"Schoenfeld, M.P.; Ansari, R.R.; Nakao, A.; Wink, D.",N,The study does not focus on air pollutants or their relation to Parkinson's disease.
A Model System for Photocatalysis: Ti-Doped α-Fe(2)O(3)(11̅02) Single-Crystalline Films,2020,"Franceschi, Giada; Kraushofer, Florian; Meier, Matthias; Parkinson, Gareth S.; Schmid, Michael; Diebold, Ulrike; Riva, Michele",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on photocatalysis and material science."
"A Multifunctional Electrochemical Sensor for the Simultaneous Detection of Ascorbic Acid, Dopamine, Uric Acid, and Nitrite",2021,"Wang, H.; Zhang, X.; Wang, S.; Ma, H.; Shen, Y.; Wang, X.",N,The study does not focus on air pollutants or their relation to Parkinson's disease.
A national case-crossover analysis of the short-term effect of PM2.5 on hospitalizations and mortality in subjects with diabetes and neurological disorders,2014,"Zanobetti, Antonella; Dominici, Francesca; Wang, Yun; Schwartz, Joel D.",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, and Parkinson's is not explicitly linked to these pollutants."
A New Hope for a Devastating Disease: Hydrogen Sulfide in Parkinson’s Disease,2018,"Cao, X.; Cao, L.; Ding, L.; Bian, J.-S.",N,"No air pollutants CO, O3, NO2 mentioned focuses on hydrogen sulfide and its effects on Parkinson's."
A new hope for neurodegeneration: Possible role of hydrogen sulfide,2011,"Gong, Q.-H.; Shi, X.-R.; Hong, Z.-Y.; Pan, L.-L.; Liu, X.-H.; Zhu, Y.-Z.",N,"No air pollutants mentioned focuses on hydrogen sulfide and neurodegeneration without linking to CO, O3, or NO2."
"A novel concern from two sample Mendelian randomization study: The effects of air pollution exposure on the cardiovascular, respiratory, and nervous system",2024,"Wang, Y.; Peng, Z.; Li, Z.; Wu, Q.; Ding, B.; Wang, R.; Qi, Z.",N,"The study is a Mendelian randomization analysis, not an observational study as required."
A novel fluorescent probe with tailored properties for ozone: Applications in on-site environmental monitoring and real-time bioimaging in Parkinson's disease models,2024,"Li, L.; Zhao, X.; Tian, Y.; Li, J.; Yang, Z.; Liu, X.; Li, Y.; Cao, Z.; Peng, C.; Deng, Y.; Dehaen, W.; Fang, Y.",Y,"The study mentions ozone as an air pollutant and explicitly links it to Parkinson's disease, meeting all inclusion criteria."
A novel potentiometric screen-printed electrode based on crown ethers/nano manganese oxide/Nafion composite for trace level determination of copper ion in biological fluids,2024,"Hassan, Saad S. M.; El-Shalakany, Hadeel H.; Fathy, Mahmoud Abdelwahab; Kamel, Ayman H.",N,The study does not mention any air pollutants or link Parkinson's disease to air pollution.
A PARK2 polymorphism associated with delayed neuropsychological sequelae after carbon monoxide poisoning,2013,"Liang, F.; Li, W.; Zhang, P.; Zhang, Y.; Gu, J.; Wang, X.; Zhang, H.; Gu, R.",Y,"The study mentions carbon monoxide CO and discusses Parkinson's disease as a related outcome, meeting inclusion criteria."
A Perspective on Nrf2 Signaling Pathway for Neuroinflammation: A Potential Therapeutic Target in Alzheimer's and Parkinson's Diseases,2022,"Saha, S.; Buttari, B.; Profumo, E.; Tucci, P.; Saso, L.",N,"The article does not mention any air pollutants and is a review, not an observational study."
A PLAN to address the Parkinson pandemic,2025,"Dorsey, E. Ray; Okun, Michael S.; Bloem, Bastiaan R.",N,"No specific air pollutants CO, O3, NO2 are mentioned in relation to Parkinson's disease."
A polymorphism located at an ATG transcription start site of the heme oxygenase-2 gene is associated with classical Parkinson's disease,2011,"Ayuso, P.; Martínez, C.; Lorenzo-Betancor, O.; Pastor, P.; Luengo, A.; Jiménez-Jiménez, F.J.; Alonso-Navarro, H.; Villalba, M.T.; Agúndez, J.A.G.; García-Martín, E.",N,No air pollutants mentioned focuses on genetic variations related to Parkinson's disease.
A prospective analysis of airborne metal exposures and risk of Parkinson disease in the nurses' health study cohort,2014,"Palacios, Natalia; Fitzgerald, Kathryn; Roberts, Andrea L.; Hart, Jaime E.; Weisskopf, Marc G.; Schwarzschild, Michael A.; Ascherio, Alberto; Laden, Francine",N,"No air pollutants CO, O3, NO2 mentioned only metals are discussed."
A Pure Parkinsonian Syndrome Following Acute Carbon Monoxide Intoxication,1982,"Klawans, H.L.; Stein, R.W.; Tanner, C.M.; Goetz, C.G.",N,"This is a case report, not an observational study, and does not meet the inclusion criteria."
A rare case of Holmes tremor in a worker with occupational carbon monoxide poisoning,2021,"Rutchik, J.; Bowler, R.M.; Ratner, M.H.",N,"The study is a case report, not an observational study, and does not meet the inclusion criteria."
A review of monoamine oxidase (MAO) inhibitors in tobacco or tobacco smoke,2022,"Hong, Sa Weon; Teesdale-Spittle, Paul; Page, Rachel; Truman, Penelope",N,The article is a review and does not focus on observational studies related to air pollutants and Parkinson's.
A review on applications and toxicity of nanoparticles,2015,"Kalirawana, T.C.; Sharma, P.; Joshi, S.C.",N,The article is a review and does not mention air pollutants or Parkinson's disease.
A review on free radicals and antioxidants,2020,"Alkadi, H.",N,The article is a review and does not mention air pollutants or Parkinson's disease.
A study of the relationships between Parkinson's disease and markers of traffic-derived and environmental manganese air pollution in two Canadian cities,2007,"Finkelstein, M.M.; Jerrett, M.",N,"The study focuses on manganese Mn and does not mention the required air pollutants: CO, O3, or NO2."
A systematic review and meta-analysis of respiratory dysfunction in Parkinson's disease,2023,"McMahon, Laura; Blake, Catherine; Lennon, Olive",N,The article is a systematic review and does not focus on air pollutants related to Parkinson's disease.
A triosmium carbonyl cluster that inhibits α-synuclein aggregation and disassembles preformed aggregates,2025,"Liang, X.; Gulyas, B.; Palanivel, M.; Leong, W.K.",N,"The study is experimental, focusing on inhibiting -synuclein aggregation, not observational or related to air pollutants."
Absence of Cytotoxicity towards Microglia of Iron Oxide (α-Fe(2)O(3)) Nanorhombohedra,2016,"Lewis, Crystal S.; Torres, Luisa; Miyauchi, Jeremy T.; Rastegar, Cyrus; Patete, Jonathan M.; Smith, Jacqueline M.; Wong, Stanislaus S.; Tsirka, Stella E.",N,"The study does not mention any of the specified air pollutants CO, O3, NO2 or link them to Parkinson's."
Accidental carbon monoxide poisoning presenting without a history of exposure: A case report,2008,"Bennetto, L.; Powter, L.; Scolding, N.J.",N,"The study is a case report, not an observational study, and does not link CO exposure to Parkinson's as an adverse health outcome."
Activation of MAPK and FoxO by manganese (Mn) in rat neonatal primary astrocyte cultures,2014,"Exil, Vernat; Ping, Li; Yu, Yingchun; Chakraborty, Sudipta; Caito, Samuel W.; Wells, K. Sam; Karki, Pratap; Lee, Eunsook; Aschner, Michael",N,"No air pollutants mentioned focuses on manganese and its effects, not the specified pollutants."
Active and passive smoking and risk of Parkinson's disease,2010,"Tanaka, K.; Miyake, Yoshihiro; Fukushima, W.; Sasaki, S.; Kiyohara, C.; Tsuboi, Y.; Yamada, T.; Oeda, T.; Miki, T.; Kawamura, N.; Sakae, N.; Fukuyama, H.; Hirota, Y.; Nagai, M.",N,"No air pollutants mentioned study focuses on smoking and Parkinson's, not the specified air pollutants."
Acute dystonic reaction and the neuroleptic malignant syndrome,2005,"White, S.R.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
"Adenine nucleotide translocase: Current knowledge in post-translational modifications, regulations and pathological implications for human diseases",2023,"Chen, Y.; Wu, L.; Liu, J.; Ma, L.; Zhang, W.",Y,"The study mentions Parkinson's disease and carbon monoxide, meeting inclusion criteria."
Adenylyl cyclase activity in postmortem human brain: evidence of altered G protein mediation in Alzheimer's disease,1992,"Cowburn, R. F.; O'Neill, C.; Ravid, R.; Alafuzoff, I.; Winblad, B.; Fowler, C. J.",N,The study focuses on Alzheimer's disease and does not mention Parkinson's or any air pollutants.
