author,year,title,journal,doi,Loon_Lens_Confidence_Level,Loon_Lens_Decision,Human_Decision,Loon_Lens_Reasoning
"Ai, Baozhuo and Zhang, Jiayue and Zhang, Shiyu and Chen, Ge and Tian, Fei and Chen, Lan and Li, Haitao and Guo, Yuming and Jerath, Angela and Lin, Hualiang and Zhang, Zilong",2024,Causal association between long-term exposure to air pollution and incident Parkinson's disease,Journal of Hazardous Materials,10.1016/j.jhazmat.2024.133944,VERY_HIGH,INCLUDE,INCLUDE," The study meets all inclusion criteria. and 1. Language: The article is written in English. and 2. Study Design: The study is described as a 'large population-based prospective cohort study' (Methods, section 2.1), which is an observational study design conducted on a human population. and 3. Exposure: The study investigates exposure to 'ozone (O3)' (Abstract), which is one of the specified air pollutants of interest (CO, O3, or NO2). and 4. Outcome: The study explicitly investigates 'incident Parkinson's disease (PD)' as the health outcome (Title, Abstract). and 5. Exposure-Outcome Relationship: The study's primary objective is to assess the 'associations between air pollution and PD' (Abstract), specifically examining the link between O3 exposure and the incidence of Parkinson's disease. and As all inclusion criteria are clearly met, the study is included."
"Al-Janabi, Wissam S A and Zaman, Iram and Memon, Anza Bilal",2019,Secondary Parkinsonism Due to a Large Anterior Cranial Fossa Meningioma,European Journal of Case Reports in Internal Medicine,10.12890/2019_001055,VERY_HIGH,EXCLUDE,EXCLUDE," The article is a case report titled 'Secondary Parkinsonism Due to a Large Anterior Cranial Fossa Meningioma', detailing a single patient's experience with Parkinsonism caused by a brain tumor. This does not meet the inclusion criterion for 'Primary or secondary observational studies of a human population' (e.g., cross-sectional, longitudinal, cohort, case-control), as a case report focuses on an individual rather than a population-level observation. Although the abstract mentions 'carbon monoxide or manganese toxicity' as a potential cause of secondary Parkinson's, the study's primary investigation and focus are on a brain tumor as the etiology of Parkinsonism, not air pollution. Therefore, it does not meet the criterion that 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution' in the context of the study's actual research question or findings. and Exclusion labels: study_design, exposure"
"Bai, Lijun and Jiang, Yunxing and Zhang, Kai and Su, Hong and Sun, Shiquan and Deng, Furong and Baccarelli, Andrea A. and Shi, Xiaoming and Guo, Xinbiao and Wu, Shaowei",2025,Associations of ambient particulate matter and nitrogen dioxide with hospital admissions for Parkinson's disease: A nationwide case-crossover study in China,Environmental Pollution,10.1016/j.envpol.2025.127062,VERY_HIGH,INCLUDE,INCLUDE," The study meets all inclusion criteria. It is a primary observational study (time-stratified case-crossover) written in English, which satisfies the language and study design criteria. The population is a large human cohort (293,357 hospital admissions for Parkinson's disease in China). The exposures of interest are explicitly investigated; the study assesses the association of Nitrogen Dioxide (NO2), one of the specified pollutants, with the study outcome. Data for Carbon Monoxide (CO) and Ozone (O3) were also collected and analyzed. The outcome is explicitly Parkinson's disease (PD), defined as hospital admissions with a principal discharge diagnosis of PD (ICD-10: G20). This aligns with the criterion that allows for the inclusion of PD hospitalizations. The study's primary objective is to investigate the link between the specified air pollutants (specifically NO2) and PD hospital admissions, thereby meeting all stated inclusion criteria. No exclusion criteria were provided that would apply to this study."
"Calderón-Garcidueñas, Lilian and González-Maciel, Angélica and Reynoso-Robles, Rafael and Kulesza, Randy J. and Mukherjee, Partha S. and Torres-Jardón, Ricardo and Rönkkö, Topi and Doty, Richard L.",2018,"Alzheimer's disease and alpha-synuclein pathology in the olfactory bulbs of infants, children, teens and adults ≤ 40 years in Metropolitan Mexico City. APOE4 carriers at higher risk of suicide accelerate their olfactory bulb pathology",Environmental Research,10.1016/j.envres.2018.06.027,HIGH,INCLUDE,EXCLUDE," ## Analysis and This is a primary observational autopsy study examining olfactory bulb tissues from 179 residents of Metropolitan Mexico City (MMC), ages 11 months to 40 years, investigating AD- and Parkinson's disease-related pathology in the context of air pollution exposure. The PEO (Population, Exposure, Outcome) framework is most applicable. The study evaluates the association between chronic air pollution exposure and neurodegenerative pathology including Parkinson's disease hallmarks (alpha-synuclein, Lewy neurites). and ### Per-Label Synthesis and - **population**: NOT_TRIGGERED. Study clearly involves a human population (179 autopsy subjects, MMC residents). and - **exposure**: NOT_TRIGGERED. O3 is explicitly and repeatedly mentioned as a pollutant exceeding USEPA standards to which MMC residents are exposed year-round. NO2 is also mentioned as having had elevated levels. The inclusion criteria require only that at least one of the three specified pollutants (CO, O3, NO2) be mentioned in TiAb or FT — O3 is prominently featured, including in Figure 1 which shows the spatial distribution of ozone in MMC. The criterion does not require that O3 or NO2 be the primary variable in quantitative regression analyses. and - **outcome**: NOT_TRIGGERED. Parkinson's disease is explicitly mentioned as an adverse health outcome related to air pollution throughout the study. The investigation of alpha-synuclein pathology and Lewy neurites (PD hallmarks) in air-pollution-exposed subjects constitutes investigation of Parkinson's as a health outcome related to air pollution. and - **study_design**: NOT_TRIGGERED. Primary observational autopsy study of human subjects. and - **language**: NOT_TRIGGERED. Article is in English. and ### Prior Reviewer Deliberation and I agree with **AI Researcher 1** that the study meets all inclusion criteria. O3 is not merely incidentally mentioned — it is a named exposure of the study population, appearing in the Air Quality Data section and in Figure 1 with a dedicated map. The inclusion criteria state Parkinson's 'must be investigated as a health outcome related to either of the three defined air pollutants.' The study investigates PD-related pathology in subjects who are explicitly documented to be exposed to O3 above USEPA standards; this satisfies the criterion. and I disagree with **AI Researcher 2**'s interpretation. The inclusion criteria do not require that the formal statistical model use O3 or NO2 as the independent variable. The requirement is that Parkinson's be investigated as a health outcome 'related to' the specified pollutants — not that a quantitative dose-response analysis for O3 specifically must be performed. The study clearly frames its findings within the context of air pollution including ozone exposure, and investigates PD-related pathology (alpha-synuclein, Lewy neurites) in this context. and ### Conclusion and The study should be INCLUDED. It is a primary observational English-language study of a human population that explicitly mentions O3 (and NO2) as pollutants the study population is exposed to, and investigates Parkinson's disease-related pathology as an adverse health outcome related to air pollution. All inclusion criteria are satisfied. No exclusion criteria were provided."
"Calderón-Garcidueñas, Lilian and Torres-Jardón, Ricardo and Greenough, Glen P. and Kulesza, Randy and González-Maciel, Angélica and Reynoso-Robles, Rafael and García-Alonso, Griselda and Chávez-Franco, Diana A. and García-Rojas, Edgar and Brito-Aguilar, Rafael and Silva-Pereyra, Héctor G. and Ayala, Alberto and Stommel, Elijah W. and Mukherjee, Partha S.",2023,"Sleep matters: Neurodegeneration spectrum heterogeneity, combustion and friction ultrafine particles, industrial nanoparticle pollution, and sleep disorders—Denial is not an option",Frontiers in Neurology,10.3389/fneur.2023.1117695,VERY_HIGH,EXCLUDE,EXCLUDE," The article is explicitly identified as a ""Review"" on page 1 under the 'TYPE' field. The inclusion criteria specify that the article must be a ""Primary or secondary observational studies of a human population,"" providing examples such as ""cross sectional, longitudinal study (cohort/panel both count), case controls, etc."" A review article, by definition, synthesizes existing research rather than presenting original primary or secondary observational data. Therefore, the study design of this article does not meet the specified inclusion criteria. and Exclusion labels: study_design"
"Cao, Zichun and Yuan, Yaqun and White, Alexandra J. and Li, Chenxi and Luo, Zhehui and D'Aloisio, Aimee A. and Huang, Xuemei and Kaufman, Joel D. and Sandler, Dale P. and Chen, Honglei",2024,Air Pollutants and Risk of Parkinson's Disease among Women in the Sister Study,Environmental Health Perspectives,10.1289/ehp13009,VERY_HIGH,INCLUDE,INCLUDE," The study meets all inclusion criteria. 1. Language: The article is written in English. 2. Study Design: The study is a prospective cohort study ('ongoing nationwide cohort'), which is an accepted observational study design. 3. Population: The study population is a human population of 47,108 US women. 4. Exposure: The study investigates exposure to Nitrogen Dioxide (NO₂), which is one of the specified pollutants of interest. The abstract states the objective is to 'investigate the associations of PD with ambient exposures to... nitrogen dioxide (NO₂)'. 5. Outcome: The study explicitly identifies Parkinson's disease (PD) as the primary outcome ('The primary outcome was PD diagnosis'). 6. Outcome-Exposure Link: The study directly investigates the relationship between exposure to NO₂ and the risk of developing Parkinson's disease, fulfilling the final criterion."
"Cerza, Francesco and Renzi, Matteo and Agabiti, Nera and Marino, Claudia and Gariazzo, Claudio and Davoli, Marina and Michelozzi, Paola and Forastiere, Francesco and Cesaroni, Giulia",2018,Residential exposure to air pollution and incidence of Parkinson's disease in a large metropolitan cohort,Environmental Epidemiology,10.1097/ee9.000000000000023,VERY_HIGH,INCLUDE,INCLUDE," The study meets all inclusion criteria. It is a primary observational study (longitudinal cohort study) conducted on a human population of residents in Rome, as stated in the abstract and methods. The study is written in English. It investigates exposure to several air pollutants, including two of the specified pollutants of interest: Nitrogen Dioxide (NO₂) and Ozone (O₃). The outcome of interest is explicitly the incidence of Parkinson's disease (PD), and the study's primary aim is to evaluate the association between exposure to these air pollutants and the incidence of PD. All criteria are clearly satisfied."
"Chang, -C. and Hsiao, -T. and Huang, -H. and Lui, -C. and Yen, -C. and Chang, -N. and Huang, -W. and Hsieh, -J. and Chang, -Y. and Lin, -J.",2014,$^{18}$F-FP-(+)-DTBZ positron emission tomography detection of monoaminergic deficient network in patients with carbon monoxide related parkinsonism,European Journal of Neurology,10.1111/ene.12672,LOW,INCLUDE,EXCLUDE," ## Analysis and This is a primary observational (case-control) study using neuroimaging (PET, MRI, DTI) in 18 patients with CO-related parkinsonism compared to 9 controls. The applicable framework is **PEO** (Population, Exposure, Outcome): the population is adults with CO-related parkinsonism, the exposure is carbon monoxide, and the outcome is parkinsonism severity (UPDRS). The article is written in English. and ### Per-Label Synthesis and **Language**: NOT_TRIGGERED. The article is fully in English. and **Population**: NOT_TRIGGERED. The study enrolls 18 human patients with CO-related parkinsonism and 9 healthy controls — a clear human observational cohort. and **Exposure**: AMBIGUOUS. CO is explicitly one of the three named air pollutants in the inclusion criteria. The inclusion criteria additionally state that 'Setting can be either outdoor/indoor,' which is permissive language. The CO source here is charcoal burning in an indoor setting, which is an indoor source of CO. However, the exposure is acute/high-dose toxic poisoning from a suicide attempt (carboxyhaemoglobin up to 99%), rather than chronic ambient or occupational air quality exposure. The criteria do not explicitly restrict to ambient environmental exposure or exclude acute poisoning scenarios. Given that the criteria are written to include indoor settings and name CO as a target pollutant without qualifying exposure level or type, the study passes or is at most ambiguous on this criterion — it is not clearly excluded. and **Outcome**: NOT_TRIGGERED. Parkinsonism is explicitly the primary adverse health outcome studied in relation to CO, satisfying the inclusion requirement that 'Parkinson's must be investigated as a health outcome related to either of the three defined air pollutants.' and **Study design**: NOT_TRIGGERED. This is a primary observational (case-control) study — a category explicitly included. and ### Prior Reviewer Deliberation"
"Chang, Chiung-Chih and Chang, Wen-Neng and Lui, Chun-Chung and Huang, Shu-Hua and Lee, Chen-Chang and Chen, Ching and Wang, Jiun-Jie",2011,Clinical significance of the pallidoreticular pathway in patients with carbon monoxide intoxication,Brain,10.1093/brain/awr287,LOW,INCLUDE,EXCLUDE," ## Analysis and This article is a primary observational study (cross-sectional with matched controls) investigating the clinical significance of pallidoreticular lesions in 25 patients with carbon monoxide (CO) intoxication versus 25 matched controls. The study examines neuroimaging findings, cognitive performance, and parkinsonian features using the Unified Parkinson's Disease Rating Scale (UPDRS). The applicable framework is PEO (Population, Exposure, Outcome). The exposure is CO; the outcomes include parkinsonian features/symptoms and cognitive deficits. and ### Per-Label Synthesis and **Language (NOT_TRIGGERED):** The article is entirely in English. Criterion satisfied. and **Population (NOT_TRIGGERED):** The study enrolls 25 human patients with CO intoxication and 25 matched controls. Meets the primary observational study criterion. and **Exposure (NOT_TRIGGERED):** CO is central to the study—'carbon monoxide intoxication' is in the title and is the defining exposure throughout. Meets the air pollutant criterion. and **Outcome (AMBIGUOUS):** The study explicitly measures 'parkinsonian features' and 'parkinsonian symptoms' as outcomes of CO intoxication using the Unified Parkinson's Disease Rating Scale. The keyword list in the article includes 'parkinsonian symptoms.' The UPDRS is named for and defined around Parkinson's disease. The Introduction states 'Parkinsonian symptoms have frequently been observed in patients following carbon monoxide intoxication.' The Discussion explicitly compares findings to 'idiopathic Parkinson's disease,' referencing 'Parkinson's disease' by name multiple times. While the study does not diagnose patients with Parkinson's disease as a standalone neurodegenerative condition, the outcomes measured are explicitly Parkinson's-named, Parkinson's-defined, and directly compared to Parkinson's disease. The inclusion criteria state 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution'—and the term 'parkinsonian' explicitly names Parkinson's disease as the reference condition for these outcomes. Furthermore, the inclusion criteria provide examples that include hospitalizations of individuals with Parkinson's exposed to air pollution, and fatality rates, suggesting a broad interpretation of Parkinson's-related outcomes is intended. and **Study Design (NOT_TRIGGERED):** Primary observational study with controls. Meets criterion. and ### Prior Reviewer Deliberation"
"Chen, Chiu-Ying and Hung, Hui-Jung and Chang, Kuang-Hsi and Hsu, Chung Y. and Muo, Chih-Hsin and Tsai, Chon-Haw and Wu, Trong-Neng",2017,Long-term exposure to air pollution and the incidence of Parkinson's disease: A nested case-control study,PLOS ONE,10.1371/journal.pone.0182834,VERY_HIGH,INCLUDE,INCLUDE," The study meets all specified inclusion criteria. 1. **Language:** The article is written in English. 2. **Study Design:** The study is a 'nested case-control study', which is a primary observational study design conducted on a human population. 3. **Exposure:** The study explicitly mentions and analyzes Carbon Monoxide (CO), Ozone (O3), and Nitrogen Dioxide (NO2) as exposures of interest in the abstract and presents results for them in Table 2. 4. **Outcome:** The study explicitly identifies the 'incidence of Parkinson's disease' as the primary health outcome. 5. **Exposure-Outcome Relationship:** The study's objective was to examine the effects of air pollutants on the onset of Parkinson's disease. It specifically investigated and reported the risk estimates (odds ratios) for Parkinson's disease in relation to exposure to CO, O3, and NO2 (Table 2), thereby fulfilling the criterion that this relationship must be investigated."
